scaled Front Center,scaled Front Left,scaled Front Right,scaled Left,scaled Right,Action
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.16,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.16,1.0,1.0,L
1.0,1.0,0.12,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.16,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,0.4,L
1.0,1.0,0.24,1.0,0.24,L
1.0,1.0,0.24,1.0,0.24,L
1.0,1.0,0.24,1.0,0.2,L
1.0,1.0,0.24,1.0,0.16,L
1.0,1.0,0.24,1.0,0.12,L
1.0,1.0,0.24,1.0,0.12,L
1.0,1.0,0.24,1.0,0.2,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.16,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.16,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.16,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.24,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,0.16,1.0,1.0,L
1.0,1.0,0.2,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,0.24,F
1.0,1.0,1.0,1.0,0.12,F
1.0,1.0,1.0,1.0,0.12,F
1.0,1.0,1.0,1.0,0.12,F
1.0,1.0,1.0,1.0,0.12,F
1.0,1.0,1.0,1.0,0.2,F
1.0,1.0,1.0,1.0,0.2,F
1.0,1.0,1.0,1.0,0.28,F
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,0.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
0.96,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,0.56,1.0,1.0,L
1.0,1.0,0.52,1.0,1.0,L
1.0,1.0,0.72,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,0.68,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
0.56,1.0,1.0,1.0,1.0,N
1.0,1.0,0.6,1.0,1.0,L
1.0,1.0,0.44,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.28,1.0,1.0,L
1.0,1.0,0.32,1.0,1.0,L
1.0,1.0,0.36,1.0,1.0,L
1.0,1.0,0.44,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
0.68,1.0,1.0,1.0,1.0,N
0.6,1.0,1.0,1.0,1.0,N
0.6,1.0,1.0,1.0,1.0,N
0.68,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.48,1.0,1.0,1.0,1.0,N
0.4,1.0,1.0,1.0,1.0,N
0.36,1.0,1.0,1.0,1.0,N
0.44,1.0,1.0,1.0,1.0,N
0.48,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.88,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
0.72,1.0,1.0,1.0,1.0,N
0.6,1.0,1.0,1.0,1.0,N
0.64,0.44,1.0,1.0,1.0,R
0.96,0.64,1.0,1.0,1.0,R
1.0,1.0,1.0,1.0,1.0,N
0.96,0.32,1.0,1.0,1.0,R
0.92,0.4,1.0,1.0,1.0,R
1.0,0.4,1.0,1.0,1.0,R
0.92,0.64,1.0,1.0,1.0,R
0.72,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
0.76,1.0,1.0,1.0,1.0,N
0.68,1.0,1.0,1.0,1.0,N
0.6,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.68,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.56,1.0,1.0,1.0,1.0,N
0.56,1.0,1.0,1.0,1.0,N
0.48,1.0,1.0,1.0,1.0,N
0.52,1.0,1.0,1.0,1.0,N
0.52,1.0,1.0,1.0,1.0,N
0.48,1.0,1.0,1.0,1.0,N
0.48,1.0,1.0,1.0,1.0,N
0.48,1.0,1.0,1.0,1.0,N
0.52,1.0,1.0,1.0,1.0,N
0.48,1.0,1.0,1.0,1.0,N
0.48,1.0,1.0,1.0,1.0,N
0.48,1.0,1.0,1.0,1.0,N
0.44,1.0,1.0,1.0,1.0,N
0.44,1.0,1.0,1.0,1.0,N
0.44,1.0,1.0,1.0,1.0,N
0.44,1.0,1.0,1.0,1.0,N
0.4,1.0,1.0,1.0,1.0,N
0.44,1.0,1.0,1.0,1.0,N
0.4,1.0,1.0,1.0,1.0,N
0.44,1.0,1.0,1.0,1.0,N
0.4,1.0,1.0,1.0,1.0,N
0.76,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
0.12,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,0.92,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,0.44,1.0,1.0,L
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,1.0,1.0,N
0.4,1.0,1.0,1.0,1.0,N
0.56,1.0,1.0,1.0,1.0,N
0.52,1.0,1.0,1.0,1.0,N
0.44,1.0,1.0,1.0,1.0,N
0.64,1.0,1.0,1.0,1.0,N
0.52,1.0,1.0,1.0,1.0,N
0.56,1.0,1.0,1.0,1.0,N
0.52,0.4,1.0,1.0,1.0,R
0.44,0.4,1.0,1.0,1.0,R
0.4,1.0,1.0,1.0,1.0,N
0.24,0.36,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.16,1.0,1.0,1.0,R
0.2,0.16,1.0,1.0,1.0,R
0.16,0.28,1.0,1.0,1.0,R
0.2,0.28,1.0,1.0,1.0,R
0.28,0.24,1.0,1.0,1.0,R
0.24,0.16,1.0,1.0,1.0,R
0.24,0.2,1.0,1.0,1.0,R
0.24,0.2,1.0,1.0,1.0,R
0.24,0.2,1.0,1.0,1.0,R
0.24,0.2,1.0,1.0,1.0,R
0.2,0.28,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.28,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,1.0,1.0,1.0,1.0,N
0.16,1.0,1.0,1.0,1.0,N
0.16,1.0,1.0,1.0,1.0,N
0.16,1.0,1.0,1.0,1.0,N
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.16,0.2,1.0,1.0,1.0,R
0.24,0.16,1.0,1.0,1.0,R
0.24,0.2,1.0,1.0,1.0,R
0.28,0.28,1.0,1.0,1.0,R
0.28,1.0,1.0,1.0,1.0,N
0.32,1.0,1.0,1.0,1.0,N
0.28,0.2,1.0,1.0,1.0,R
0.24,0.16,1.0,1.0,1.0,R
0.24,0.2,1.0,1.0,1.0,R
0.24,0.16,1.0,1.0,1.0,R
